"employeetypeid","employeetypename","SNRO","SickSNRO","SickStatus","RecordStatus","overvalue"
1,"Tetap","Employee Type Karyawan ","Sickness Transaction ","SD",1,0.0058
2,"Kontrak","Employee Type Karyawan ","Sickness Transaction ","SD",1,0.0058
