productid,productname,productpic,recordstatus
350,Splitter 2 Way  SPL 2 IKS   Ikusi,,1
351,Splitter 4 Way  SPL 4 IKS   Ikusi,,1
352,Splitter 4 Way  SPL 4 MTX   Matrix,,1
353,"ST SM / MM SIMPLEX Adapter, Metal  BL FC RSG   Rosenberger",,1
354,Termonator plug for daisy chain  A360.1.5   ,,1
355,TV Adapter  ADP TV   ,,1
356,V K ( Channel Filter  )  V - K   Astro,,1
357,VSF 42 SAT Distribution Passive 2 X 1 IN 4  VSF 42   Astro,,1
358,W Conector Cable  W CNC CBL   ,,1
359,Patchcore @ 3 M - FO  LC/PC - SC/PC 3 M (Duplex)   ,,1
360,Patchcore @ 3 M - FO  SC/PC - SC/PC 3 M 62.5 um (Duplex)   ,,1
361,Patchcore @ 2 M - FO  SC/PC - SC/PC 2 M   ,,1
362,Patchcore @ 10 M - FO  FC/PC - SC/PC 10 M   ,,1
363,Patchcore @ 5M - FO  SC/APC-SC/PC 5M (Duplex)   ,,1
364,Patchcore @ 3 M - FO  SC/APC-SC/APC 3 M (Duplex)   ,,1
365,Patchcore @ 3 M - FO  SC/APC - SC/APC 3 M   ,,1
366,Patchcore @ 3 M - FO  ST/PC - ST/PC D 3 M   ,,1
367,Patchcore @ 30 M - FO  SC/PC - SC/APC 30 M   ,,1
368,Patchcore @ 10 M - FO  FC/APC - SC/APC D 10 M   ,,1
369,Patchcore @ 30 M - FO   LC/LC - LC/LC D 30 M   ,,1
370,Patchcore @ 20 M - FO   FC/APC-SC/APC 20 M   ,,1
371,Pigtail @ 1.5 M - FO  FC/APC 1.5 M   ,,1
372,Pigtail @ 14.5 M - FO  FC/APC 14.5 M   ,,1
373,Pigtail @ 4.5 M - FO  FC/APC 4.5 M   ,,1
374,Pigtail @ 1.5 M - FO  FC/PC 1.5 M   ,,1
375,Pigtail @ 5 M - FO  FC/PC 5 M   ,,1
376,Pigtail @ 2 M - FO  FC/PC 2 M   ,,1
377,Pigtail @ 1.5 M - FO  SC/PC 1.5 M   ,,1
378,Pigtail @ 1.5 M - FO  SC/PC 2 M   ,,1
379,Pigtail @ 3 M - FO  FC/PC 3 M   ,,1
380,"Pipa Galvanise 1""  GLV 1 - 6   ",,1
381,"Pipa Galvanise 1.5""  GLV 1.5 - 6   ",,1
382,"Pipa Galvanise 2""  GLV 2 - 6   ",,1
383,"Pipa Galvanise 3/4""  GLV 3/4 - 6   ",,1
384,"Pipa PVC 1"" @ 4 M  PVC 1 - 4   Aqualon",,1
385,"Pipa PVC 1.5"" @4 M  PVC 1 - 1.5   ",,1
386,"Pipa PVC 5""@4 M  PVC 1 - 5   ",,1
387,Pipa PVC 25mm@4 M  PVC 1 - 25 MM   ,,1
388,"Pipa PVC 3-4""  PVC 1 - 3/4   ",,1
389,Pipa Conduit 20 MM @ 4 M  CDT 20 MM   Clipsal,,1
390,Pipa Subduct Hitam  ( 28 x 32 )  PSH 28 X 32   ,,1
391,Pipa Subdust Kuning ( 40 X 34 )  PSK 40 X 34   ,,1
392,Pipa Subduct Orange ( 40 X 34 )  PSO 40 X 34   ,,1
393,Protector Sleave  P - SLV   ,,1
394,Rack 12U dpth 470 mm Mounted  R 12 U M   ,,1
395,Span Schoor 10 mm  S - SCHR 10 MM   ,,1
396,Span Schoor 12 mm  S - SCHR 12 MM   ,,1
397,Steel band  STEEL - B   ,,1
398,Stopping   STP   ,,1
399,Shock Conduit      ,,1
400,Terminal Box BPL  TB - BPL   ,,1
401,Tiang 7 Meter  PL 7 M   Beton ,,1
402,Tiang 7 Meter  PL 7 M   Besi ,,1
403,Tiang 9 Meter  PL 9 M   Besi ,,1
404,W Cable Connector  W - CBL    ,,1
405,Kawat Label   KWT LABEL    ,,1
