productid,productname,productpic,recordstatus
271,Pcs  DIRECT COUPLER ( DC - 12 )   ASTRX,,1
272,Pcs  DIRECT COUPLER ( DC - 8 )   ASTRX,,1
273,Pcs  DIRECT COUPLER ( DC- 8 )   P C T,,1
274,Pcs  DIRECT COUPLER ( DC- 8 )   ZINWELL,,1
275,Pcs  HEATSHRINK   C -COR,,1
276,Pcs  POWER INSETER   ASTRX,,1
277,Pcs  POWER INSETER   ANDES,,1
278,Pcs  SPLITTER 2 WAY   ASTRX,,1
279,Pcs  SPLITTER 2 WAY   P C T,,1
280,Pcs  SPLITTER 3 WAY   ASTRX,,1
281,Pcs  TAP 4 WAY 14 DB   FOBETMOC,,1
282,Pcs  TAP 4 WAY 20 DB   FOBETMOC,,1
283,Pcs  TAP 4 WAY 23 DB   FOBETMOC,,1
284,Pcs  TAP 4 WAY 8 DB   FOBETMOC,,1
285,Pcs  TAP 2 WAY 11 DB   ASTRX,,1
286,Pcs  TAP 2 WAY 14 DB   ASTRX,,1
287,Pcs  TAP 2 WAY 17 DB   ASTRX,,1
288,Pcs  TAP 2 WAY 20 DB   ASTRX,,1
289,Pcs  TAP 2 WAY 23 DB   ASTRX,,1
290,Pcs  TAP 2 WAY 26 DB   ASTRX,,1
291,Pcs  TAP 2 WAY 4 DB   ASTRX,,1
292,Pcs  TAP 2 WAY 8 DB   ASTRX,,1
293,Pcs  TAP 4 WAY  11 DB   FOBETMOC,,1
294,Pcs  TAP 4 WAY  17 DB   FOBETMOC,,1
295,Pcs  TAP 4 WAY 11 DB   P C T,,1
296,Pcs  TAP 4 WAY 14 DB   ANDES,,1
297,Pcs  TAP 4 WAY 14 DB   P C T,,1
298,Pcs  TAP 4 WAY 14 DB   ZINWELL,,1
299,Pcs  TAP 4 WAY 17 DB   ANDES,,1
300,Pcs  TAP 4 WAY 20 DB   ANDES,,1
301,Pcs  TAP 4 WAY 23 DB   P C T,,1
302,Pcs  TAP 4 WAY 8 DB   ASTRX,,1
303,Pcs  TAP 4 WAY 8 DB   ANDES,,1
304,Pcs  TAP 4WAY 11 DB   ZINWELL,,1
305,Pcs  TAP 8 WAY 11 DB   ASTRX,,1
306,Pcs  TAP 8 WAY 14 DB   ANDES,,1
307,Pcs  TAP 8 WAY 20 DB   ASTRX,,1
308,Digital Splitter 12 Way  SPL 12 WAY   ,,1
309,Extention  EXT   ,,1
310,F Terminator  F TMN   ,,1
311,Fiber Node   FN PA - 16801   C - COR ,,1
312,Fiber Optic Receiver SC/ APC 220V/6V DC 862 Mhz  FN BKTEL   BKTEL,,1
313,Freight & Handling Charge  RREIGTH CHARGE   ,,1
314,Housing To Housing  HTH   CHANNEL,,1
315,I Connector   I CNT   ,,1
316,Jeck   JECK   ,,1
317,Kabel  Power NYM 3x25     ,,1
318,Kabel Eterna 4x25     ,,1
319,Kabel Vycom 2x1.5     ,,1
320,MBCP - C4F ( BNC Connector  )  MBCP - C4F   Canare ,,1
321,Mini Fiber Node   FN HMW   HOMEWOR,,1
322,Modulator C1000 - UVM  MDL   ZINWELL,,1
323,Mono Phone Plug ( NP2C )  NP2C   Neutrix,,1
324,Monster  MNS   ,,1
325,Ninety Degrees  N - DGRS   ,,1
326,"Patchcore  ST TO SC Connector 62,5UM Multimode  ST TO SC MM   ",,1
327,Patchcore ST TO LC Multimode  ST TO LC MM   ,,1
328,PCT F Type Connector For  RG 6  CNT RG 6   ,,1
329,Pedestal Amplifier  PDT AMP   ,,1
330,Pedestal Tap  PDT TAP   ,,1
331,Pin Connector 500  PIN 500   ,,1
332,Pin Connectro 625  PIN 625   ,,1
333,"PPC, F Type Connector For RG 6  F TYPE RG 6   PPC",,1
334,RCA    RCA   CANARE,,1
335,RCA Combiner  RCA CMB   CANARE,,1
336,RCA Pin Plug ( Video Cable )  RCA NCM   Nacamichi,,1
337,RF Attenuator 10 DB  ATTN 10 - RF   ,,1
338,RF Attenuator 20 DB  ATTN 20 - RF   ,,1
339,RF Attenuator 16 DB  ATTN 16 - RF   ,,1
340,RF Attenuator 6 DB  ATTN  6 - RF   ,,1
341,Schuun 5 mm  SCHN 5   ,,1
342,Schuun Kecil O  SCHN O   ,,1
343,Schuun Kecil U  SCHN U   ,,1
344,Shelf Interconnect cable  A360.1.6   ,,1
345,Splice Optic 45 : 55 SC/PC Connector  SPL SC/PC   ,,1
346,Splice Optic 50 : 49 FC/APC Connector  SPL FC/APC   ,,1
347,Splice Optic 50 : 50 SC/APC Connector  SPLC SC/APC   ,,1
348,Splice Optic 50 : 50 SC/PC Connector  SPLC SC/PC   ,,1
349,Splitter 2 Way  SPL 2 CMR   Camira ,,1
