productid,productname,productpic,recordstatus
91,Patchcore @ 2 M - FO  SC/PC - SC/PC 2 M   ,,1
92,Patchcore @ 10 M - FO  FC/PC - SC/PC 10 M   ,,1
93,Patchcore @ 5M - FO  SC/APC-SC/PC 5M (Duplex)   ,,1
94,Patchcore @ 3 M - FO  SC/APC-SC/APC 3 M (Duplex)   ,,1
95,Patchcore @ 3 M - FO  SC/APC - SC/APC 3 M   ,,1
96,Patchcore @ 3 M - FO  ST/PC - ST/PC D 3 M   ,,1
97,Patchcore @ 30 M - FO  SC/PC - SC/APC 30 M   ,,1
98,Patchcore @ 10 M - FO  FC/APC - SC/APC D 10 M   ,,1
99,Patchcore @ 30 M - FO   LC/LC - LC/LC D 30 M   ,,1
100,Patchcore @ 20 M - FO   FC/APC-SC/APC 20 M   ,,1
101,Pigtail @ 1.5 M - FO  FC/APC 1.5 M   ,,1
102,Pigtail @ 14.5 M - FO  FC/APC 14.5 M   ,,1
103,Pigtail @ 4.5 M - FO  FC/APC 4.5 M   ,,1
104,Pigtail @ 1.5 M - FO  FC/PC 1.5 M   ,,1
105,Pigtail @ 5 M - FO  FC/PC 5 M   ,,1
106,Pigtail @ 2 M - FO  FC/PC 2 M   ,,1
107,Pigtail @ 1.5 M - FO  SC/PC 1.5 M   ,,1
108,Pigtail @ 1.5 M - FO  SC/PC 2 M   ,,1
109,Pigtail @ 3 M - FO  FC/PC 3 M   ,,1
110,"Pipa Galvanise 1""  GLV 1 - 6   ",,1
111,"Pipa Galvanise 1.5""  GLV 1.5 - 6   ",,1
112,"Pipa Galvanise 2""  GLV 2 - 6   ",,1
113,"Pipa Galvanise 3/4""  GLV 3/4 - 6   ",,1
114,"Pipa PVC 1"" @ 4 M  PVC 1 - 4   Aqualon",,1
115,"Pipa PVC 1.5"" @4 M  PVC 1 - 1.5   ",,1
116,"Pipa PVC 5""@4 M  PVC 1 - 5   ",,1
117,Pipa PVC 25mm@4 M  PVC 1 - 25 MM   ,,1
118,"Pipa PVC 3-4""  PVC 1 - 3/4   ",,1
119,Pipa Conduit 20 MM @ 4 M  CDT 20 MM   Clipsal,,1
120,Pipa Subduct Hitam  ( 28 x 32 )  PSH 28 X 32   ,,1
121,Pipa Subdust Kuning ( 40 X 34 )  PSK 40 X 34   ,,1
122,Pipa Subduct Orange ( 40 X 34 )  PSO 40 X 34   ,,1
