productid,productname,productpic,recordstatus
242,Pigtail @ 1.5 M - FO  SC/PC 1.5 M   ,,1
243,Pigtail @ 1.5 M - FO  SC/PC 2 M   ,,1
244,Pigtail @ 3 M - FO  FC/PC 3 M   ,,1
245,"Pipa Galvanise 1""  GLV 1 - 6   ",,1
246,"Pipa Galvanise 1.5""  GLV 1.5 - 6   ",,1
247,"Pipa Galvanise 2""  GLV 2 - 6   ",,1
248,"Pipa Galvanise 3/4""  GLV 3/4 - 6   ",,1
249,"Pipa PVC 1"" @ 4 M  PVC 1 - 4   Aqualon",,1
250,"Pipa PVC 1.5"" @4 M  PVC 1 - 1.5   ",,1
251,"Pipa PVC 5""@4 M  PVC 1 - 5   ",,1
252,Pipa PVC 25mm@4 M  PVC 1 - 25 MM   ,,1
253,"Pipa PVC 3-4""  PVC 1 - 3/4   ",,1
254,Pipa Conduit 20 MM @ 4 M  CDT 20 MM   Clipsal,,1
255,Pipa Subduct Hitam  ( 28 x 32 )  PSH 28 X 32   ,,1
256,Pipa Subdust Kuning ( 40 X 34 )  PSK 40 X 34   ,,1
257,Pipa Subduct Orange ( 40 X 34 )  PSO 40 X 34   ,,1
258,Protector Sleave  P - SLV   ,,1
259,Rack 12U dpth 470 mm Mounted  R 12 U M   ,,1
260,Span Schoor 10 mm  S - SCHR 10 MM   ,,1
261,Span Schoor 12 mm  S - SCHR 12 MM   ,,1
262,Steel band  STEEL - B   ,,1
263,Stopping   STP   ,,1
264,Shock Conduit      ,,1
265,Terminal Box BPL  TB - BPL   ,,1
266,Tiang 7 Meter  PL 7 M   Beton ,,1
267,Tiang 7 Meter  PL 7 M   Besi ,,1
268,Tiang 9 Meter  PL 9 M   Besi ,,1
269,W Cable Connector  W - CBL    ,,1
270,Kawat Label   KWT LABEL    ,,1
